,Vendor,Product_name,Date,Week,Year,Point,Vote,Title,Review
907,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,5,I've fallen in love!, its a beauty. Amoled screen is so amazing I wish it to be around atleast 6.7 inches. i have used Max2 before so i am biased towards large screens but this phone is amazing. A head turner for sure. there is no need to write about performance its awesome. In camera department i wis  Read more 
908,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,I've fallen in love!, aaha Sach a good mobile.. thanks mi .. love you  
909,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,I've fallen in love!l, best Phone under 30k  
910,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,0,I've fallen in love!, i love this  
911,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,0,I've fallen in love!, excellent  
912,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,I've fallen in love!, Awesome  
913,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,I've fallen in love!," Excellent mobile with good features, Really I loved it, Thank you for this great product Mi.  "
914,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,I've fallen in love!, Best Mobile  
915,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,0,I've fallen in love!, It is very smooth to use  
916,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,0,awesome, i luvv this fone and in the phone the pop up is superbbb  
917,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,0,I've fallen in love!, I've fallen in love!  
918,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,I've fallen in love!, one of the best phone ever  
919,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,0,Beast...., it's a Beast...  
920,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,looking very premium, nice feel in hand. first i was think price too high but after compared with other Brand mi fix descent price...  
921,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,I've fallen in love!, good  
922,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,value for the money, superb quality.  
923,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,I've fallen in love!....... Awesome phn, very nice phn  
924,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,I've fallen in love!, GooD  
925,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,I've fallen in love!, nice phone  
926,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,It looks great.., Nice phone.. I like it..  
927,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, best  
928,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, excellent phone. prompt delivery thanks to MI  
929,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, perfect phone with reasonable price.  
930,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!," grate phone from mi, love it  "
931,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, best product in lowest price  
932,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, nice one  
933,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, A value for money product  
934,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, excellent  
935,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, super  
936,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, best mobile  
937,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, awesome phone.  
938,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, camera at it's best and  good performance  
939,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, good  
940,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, excellentnphone with awesome touch and display camera  
941,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, its great  
942,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!," it's a real flagship killed

KO!!!  "
943,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love! love, I'm fall in love  
944,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, Fabolous  
945,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, The best from the rest  
946,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, Value for money.  Premium quality.  
947,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!, amazing  
948,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!, Awesomme   
949,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!, awesome  
950,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!," have been using this phone since a week.Have to admit it that this is the only best phone available at this price rate with great features. the camera is the best.. both rare and front, the processor is smooth.  "
951,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!, very good Phone with flagship configuration  
952,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!, Good phone latest chipset  
953,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,one of the best, awesome camera & gaming performance  
954,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,best mobile, thank you mi.k20 pro is the amezing mobile. I love it.  
955,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,Best in its price range. just go for it & believe the hype, Best in its price range. just go for it & believe the hype  
956,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!, good performance  
957,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,2,I've fallen in love!," first of all thanks for super fast delivery.
this phone superb for my way, incredible gaming experience and much more. I'm very happy with this phone.  "
958,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!, gr8 phone with gr8 features  
959,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!, Excellent  
960,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!, awesome front camera and display quality with fingerprint  
961,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!, future smart phone  
962,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!, To be honest this is the most beautiful phone  I have ever used in my life. Its performance is simply awesome  
963,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!, google  
964,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!, amazing phone  
965,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!, it's amazing experience love k20 pro...  
966,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!, amazing design and very nice  
967,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!, good performance  
968,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,what a device," good pr
oduct awesome thing nice good job mi  "
969,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,"it's only the SD 855 , it has more to offer"," best phone in 30000 range , NO ADS !!, display is amazing , don't think if you want this go for it.  "
970,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,i love this phone," good locking, high speed , photos good quality   "
971,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!, Super product love   
972,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,Awesome!!!," Superfast delivery.
Loved the product, processor speed too good. I'm very satisfied. 
Camera couldn't have been better, but all in all a very good product.  "
973,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!," Nice , performance and battery backup mind blowing,  "
974,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!, outstanding phone  
975,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!, selfie camera best look  
976,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!, Awesome  
977,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!, very great bargain  
978,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!, amezing quality and i suggest to everyone take this phone  
979,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!, awesome gadget I'm really happy with xiaomi K20 pro it's like killer K20 pro  
980,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!, nice  
981,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!, K20 Pro is excellent phone. Processor is latest that comes at a price which is really deal.  Camera performance is great.  There is confusion among people that it is very costly . I dont think any company is giving this top notch processor at the price of  K20Pro  
982,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love, nice mobile  
983,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,Fabulous piece of tec.," I've fallen in love with this phone. Nothing in this world would impress me like this dope piece of tec did. Specs, Design and Quality of this product is worth every penny..... Lot's of Love Redmi you did it again  "
984,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!, good performance  
985,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!, Gud  
986,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,3,I've fallen in love!, very nice phone  
987,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!, Real Flagship Killer for Killer price.Mi welcome to premium category  
988,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!, awesome it's really amazing phone  
989,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,just out of the world experience," loved flame red body.
somthing different from other mobiles available in market with higher price.
smooth working.
pop camera light is just mesmerizing.  "
990,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!," very pretty cell phone in this budget. awesome camera, display, battery and speed  "
991,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,7,I've fallen in love!," Best budget phone, the front & back camera captures beautiful pictures.  "
992,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,best phone i have used till date, no lag or rendering in pubg when i play and fastest loading  
993,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,I've fallen in love!, love the fone  
994,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,awesome phone, excellent  
995,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,I've fallen in love!!, great  
996,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,I've fallen in love!, impressive  
997,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,I've fallen in love!, good  
998,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,I've fallen in love!, Awesome phone worth for money  
999,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,Redmi k20 pro is the best smartphone in this price," Jabardasttt hai bhai hr chiz me 
Fast fingerprint 
Also loved processor 855  "
1000,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,Redmi k20 pro is the best smartphone in this price," Jabardasttt hai bhai hr chiz me 
Fast fingerprint 
Also loved processor 855  "
1001,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,This guy definately gonna kill some Flagships," Best in Price point
Best camera 
Best In display figure print scanner
Snapdragon 855
Blazing fast  "
1002,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,I've fallen in love!, nic i like it  
1003,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,I've fallen in love!, best in class  
1004,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,I've fallen in love!, it's great to take fotos and become Pro in playing PUBG I Love It  
1005,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,I've fallen in love!," This is really a flagship killer mobile, must buy.  "
1006,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,I've fallen in love!, best in the world  
1007,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,I've fallen in love!, superb mobile  
1008,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,I've fallen in love!, great  
1009,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,amazing phone," definitely best camera at this price.
phone works real smooth its been 5 days not a single issue or bug.  "
1010,Xiaomi,Redmi K20 Pro,2019-07-24,30,19,5,0,I've fallen in love!," Mobile is very good. fancy, fast and well built. Fingerprint scanner could be faster though via software update  "
