Product_name,Week1,Week2,Week3,Week4,Week5,Weight_sum
"Lava A59 (White, 4 GB)(512 MB RAM)",0,0,0,0,0,0
"Lava A97 2GB Plus (Blue, Black, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Lava A97 IPS (Black and Gold, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"Lava Iris 325 Style (Black, 512 MB)(256 MB RAM)",0,0,0,0,0,0
"Lava Iris 370 (Black & Blue, 512 MB)(256 MB RAM)",0,0,0,0,0,0
"Lava Iris 444 (Black and Blue, 512 MB)(256 MB RAM)",0,0,0,0,0,0
"Lava Iris Atom X (Black, 512 MB)(256 MB RAM)",0,0,0,0,0,0
"Lava Iris Fuel F1 Mini (White, 8 GB)(512 MB RAM)",0,0,0,0,0,0
"Lava Magnum X604 (Brown, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"Lava X11 4G (White & Gold, 8 GB)(2 GB RAM)",0,0,0,0,0,0
"Lava X3 (White & Gold, 8 GB)(2 GB RAM)",0,0,0,0,0,0
"Lava Z61 (Black, 16 GB)(1 GB RAM)",6,3,6,2,1,16.75
"Lava Z62 (Space Blue, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Lava Z70 (Black, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Lemon Blaze 504 (Champagne, 16 GB)(1 GB RAM)",0,0,0,0,0,0
"Lemon Classic 451 (Green, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"Lenovo A390 (White, 4 GB)(512 MB RAM)",0,0,0,0,0,0
"Lenovo A5 (Gold, 32 GB)(3 GB RAM)",2,9,8,21,10,43.6
"Lenovo K9 (Blue, 32 GB)(3 GB RAM)",3,15,12,22,22,64.35
"Lenovo K9 Note (Black, 64 GB)(4 GB RAM)",0,0,0,0,1,0.8
"Lenovo K9 Note (Gold, 64 GB)(4 GB RAM)",0,0,0,0,0,0
"Lenovo Phab 2 (Champagne Gold, 32 GB)(3 GB RAM)",0,2,1,1,0,3.65
"Lenovo Phab 2 Plus (Champagne Gold, 32 GB)(3 GB RAM)",0,0,1,0,2,2.5
"Lenovo Vibe P1 Turbo (Silver, 32 GB)(3 GB RAM)",0,0,0,0,0,0
"LG K7i (Brown, 16 GB)(2 GB RAM)",0,0,0,2,0,1.7
"LG K9 4G LTE (Black, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Meizu M3 Note (Grey, 32 GB)(3 GB RAM)",0,0,0,1,0,0.85
"MHL 1S (Black, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"Mi 5 (White, 32 GB)(3 GB RAM)",0,0,1,0,0,0.9
"Micromax Android One (White, 4 GB)(1 GB RAM)",0,0,0,0,0,0
"Micromax Bharat 4 Diwali Edition (Matte Black, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"Micromax Bharat 5 Plus (Jet Black, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Micromax Bolt A089 (Black, 4 GB)(512 MB RAM)",0,0,0,0,0,0
"Micromax Bolt Supreme 4 (Silver, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"Micromax Bolt Supreme 4 Q352 Plus (Grey, 16 GB)(1 GB RAM)",0,0,0,0,0,0
"Micromax Canvas 6 Pro (Black, 16 GB)(4 GB RAM)",0,0,0,0,0,0
"Micromax E460 (Black, 32 GB)(3 GB RAM)",0,0,0,0,0,0
"Micromax Sliver 5 Q450 (Black, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Micromax Spark Go (Rose Gold, 8 GB)(1 GB RAM)",22,22,14,18,4,74
"Micromax X102 (Black, 4 GB)",0,0,0,0,0,0
"Mobiistar C1 (Blue, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Mobiistar C1 Shine (Blue, 16 GB)(2 GB RAM)",0,0,0,0,1,0.8
"Mobiistar XQ Dual (Black, 32 GB)(3 GB RAM)",0,0,0,0,0,0
"Moto E (1st Gen) (Black, 4 GB)(1 GB RAM)",1,7,4,6,6,21.15
"Moto E5 (Fine Gold, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Moto E5 Plus (Fine Gold, 32 GB)(3 GB RAM)",12,65,48,49,62,208.2
"Moto G4 (Black, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Moto G5 Plus (Lunar Grey, 32 GB)(4 GB RAM)",7,6,6,8,6,29.7
"Moto G5s (Fine Gold, 32 GB)(4 GB RAM)",0,3,0,2,0,4.55
"Moto G7 Power (Ceramic Black, 64 GB)(4 GB RAM)",0,2,5,3,3,11.35
"Motorola One Action (Denim Blue, 128 GB)(4 GB RAM)",0,0,0,0,0,0
"Nexian NV-45 (Grey, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"Nextbit Robin (Midnight, 32 GB)(3 GB RAM)",0,0,0,0,0,0
"Nipda Tornado (Gold, 16 GB)(1 GB RAM)",0,0,0,0,0,0
"Nokia 1 (Warm Red, 8 GB)(1 GB RAM)",24,24,22,16,3,82.6
"Nokia 2.1 (Blue&Copper, 8 GB)(1 GB RAM)",2,6,0,5,6,16.75
