Product_name,Week0,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52,Week53,Week54,Week55,Week56,Week57,Week58,Week59,Week60,Week61,Week62,Week63,Week64,Week65,Week66,Week67,Week68,Week69,Week70,Week71,Week72,Week73,Week74,Week75,Week76,Week77,Week78,Week79,Week80,Weight_sum
"Infinix Hot 7 (Mocha Brown, 64 GB)(4 GB RAM)",95,255,296,242,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914.45
"OPPO F11 Pro (Aurora Green, 64 GB)(6 GB RAM)",37,62,140,207,179,110,85,28,38,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800.05
"Samsung Galaxy J6 (Gold, 64 GB)(4 GB RAM)",34,59,92,116,111,45,48,144,146,165,64,3,14,9,7,3,6,4,4,3,12,5,10,8,11,9,14,10,8,7,9,15,17,15,13,11,15,2,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799.6
"Samsung Galaxy J6 (Gold, 64 GB)(4 GB RAM)",36,61,69,119,112,53,60,135,145,152,90,4,7,6,11,8,3,3,5,6,5,12,13,5,11,10,17,10,11,9,10,17,7,14,17,20,11,25,38,26,20,12,16,13,16,14,11,25,29,9,5,11,5,6,16,33,37,32,8,22,30,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798.45
"Honor 8C (Black, 64 GB)(4 GB RAM)",94,240,218,179,71,22,18,1,1,1,0,2,0,0,0,1,0,1,0,1,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797.25
"Honor 9N (Midnight Black, 64 GB)(4 GB RAM)",56,223,211,251,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781
"Honor 8C (Black, 32 GB)(4 GB RAM)",95,240,200,188,66,16,18,0,0,3,0,0,0,0,1,1,0,3,0,0,0,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779.65
"Honor 8C (Black, 64 GB)(4 GB RAM)",95,230,208,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614.4
"Samsung Galaxy A20 (Gold, 32 GB)(3 GB RAM)",12,31,56,83,95,47,41,92,84,92,55,29,45,37,37,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591.15
"Panasonic P110 (Blue, 16 GB)(1 GB RAM)",7,9,20,45,61,23,31,78,85,81,44,69,82,81,89,60,68,48,58,68,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546.7
